2, 31907, Control_c, 0, 64, 127
2, 31991, Control_c, 0, 64, 0
2, 31992, Control_c, 0, 64, 0
2, 31992, Control_c, 0, 64, 0
2, 32160, Note_on_c, 0, 76, 73
2, 32165, Note_off_c, 0, 72, 64
2, 32400, Note_on_c, 0, 74, 67
2, 32429, Note_off_c, 0, 76, 64
2, 32640, Note_on_c, 0, 72, 70
2, 32648, Note_off_c, 0, 74, 64
2, 32880, Note_on_c, 0, 71, 53
2, 32916, Note_off_c, 0, 72, 64
2, 33120, Note_on_c, 0, 69, 48
2, 33138, Note_off_c, 0, 71, 64
2, 33360, Note_on_c, 0, 67, 32
2, 33373, Note_off_c, 0, 69, 64
2, 33530, Note_off_c, 0, 67, 64
2, 33600, Note_on_c, 0, 67, 85
2, 33600, Note_on_c, 0, 72, 95
2, 33726, Note_off_c, 0, 72, 64
2, 33726, Note_off_c, 0, 67, 64
2, 34080, Note_on_c, 0, 71, 90
2, 34080, Note_on_c, 0, 67, 93
2, 34215, Note_off_c, 0, 67, 64
2, 34215, Note_off_c, 0, 71, 64
2, 34560, Note_on_c, 0, 76, 96
2, 34560, Note_on_c, 0, 67, 81
2, 34781, Note_off_c, 0, 76, 64
2, 34800, Note_on_c, 0, 78, 93
2, 34830, Note_off_c, 0, 67, 64
2, 35040, Note_on_c, 0, 79, 88
2, 35071, Note_off_c, 0, 78, 64
2, 35258, Note_off_c, 0, 79, 64
2, 35280, Note_on_c, 0, 72, 68
2, 35516, Note_off_c, 0, 72, 64
2, 35520, Note_on_c, 0, 71, 61
2, 35823, Control_c, 0, 64, 127
2, 35824, Control_c, 0, 64, 127
2, 35824, Control_c, 0, 64, 127
2, 35945, Note_off_c, 0, 71, 64
2, 36000, Note_on_c, 0, 71, 62
2, 36060, Note_off_c, 0, 71, 64
2, 36064, Note_on_c, 0, 69, 54
2, 36120, Note_on_c, 0, 71, 51
2, 36128, Note_off_c, 0, 69, 64
2, 36177, Note_off_c, 0, 71, 64
2, 36183, Note_on_c, 0, 69, 47
2, 36240, Note_on_c, 0, 71, 43
2, 36248, Note_off_c, 0, 69, 64
2, 36287, Note_off_c, 0, 71, 64
2, 36291, Note_on_c, 0, 69, 43
2, 36360, Note_on_c, 0, 67, 43
2, 36364, Note_off_c, 0, 69, 64
2, 36405, Control_c, 0, 64, 0
2, 36405, Control_c, 0, 64, 0
2, 36405, Control_c, 0, 64, 0
2, 36420, Note_on_c, 0, 69, 47
2, 36439, Control_c, 0, 64, 127
2, 36439, Control_c, 0, 64, 127
2, 36439, Control_c, 0, 64, 127
2, 36441, Note_off_c, 0, 67, 64
2, 36473, Control_c, 0, 64, 0
2, 36473, Control_c, 0, 64, 0
2, 36474, Control_c, 0, 64, 0
2, 36480, Note_on_c, 0, 67, 51
2, 36501, Note_off_c, 0, 69, 64
2, 37326, Note_off_c, 0, 67, 64
2, 37440, Note_on_c, 0, 69, 70
2, 38400, Note_on_c, 0, 67, 59
2, 38425, Note_off_c, 0, 69, 64
2, 38640, Note_on_c, 0, 66, 74
2, 38650, Note_off_c, 0, 67, 64
2, 38880, Note_on_c, 0, 64, 62
2, 38921, Note_off_c, 0, 66, 64
2, 39120, Note_on_c, 0, 62, 51
2, 39136, Note_off_c, 0, 64, 64
2, 39360, Note_on_c, 0, 71, 77
2, 39364, Note_off_c, 0, 62, 64
2, 40320, Note_on_c, 0, 67, 58
2, 40354, Note_off_c, 0, 71, 64
2, 40527, Note_off_c, 0, 67, 64
2, 40724, Note_on_c, 0, 69, 66
2, 40800, Note_on_c, 0, 67, 66
2, 40806, Note_off_c, 0, 69, 64
2, 40855, Note_on_c, 0, 69, 62
2, 40857, Note_off_c, 0, 67, 64
2, 40920, Note_on_c, 0, 67, 66
2, 40925, Note_off_c, 0, 69, 64
2, 40975, Note_on_c, 0, 69, 66
2, 40997, Note_off_c, 0, 67, 64
2, 41024, Note_off_c, 0, 69, 64
2, 41040, Note_on_c, 0, 67, 66
2, 41069, Note_off_c, 0, 67, 64
2, 41076, Note_on_c, 0, 69, 66
2, 41104, Note_on_c, 0, 67, 70
2, 41108, Note_off_c, 0, 69, 64
2, 41160, Note_on_c, 0, 66, 70
2, 41161, Note_off_c, 0, 67, 64
2, 41224, Note_on_c, 0, 67, 74
2, 41236, Note_off_c, 0, 66, 64
2, 41280, Note_on_c, 0, 69, 74
2, 41295, Note_off_c, 0, 67, 64
2, 41588, Control_c, 0, 64, 127
2, 41588, Control_c, 0, 64, 127
2, 41588, Control_c, 0, 64, 127
2, 41725, Note_off_c, 0, 69, 64
2, 41760, Note_on_c, 0, 69, 66
2, 41879, Control_c, 0, 64, 0
2, 41879, Control_c, 0, 64, 0
2, 41879, Control_c, 0, 64, 0
2, 42196, Note_off_c, 0, 69, 64
2, 42240, Note_on_c, 0, 67, 53
2, 42480, Note_on_c, 0, 66, 50
2, 42486, Note_off_c, 0, 67, 64
2, 42720, Note_on_c, 0, 64, 45
2, 42735, Note_off_c, 0, 66, 64
2, 42960, Note_on_c, 0, 62, 35
2, 42977, Note_off_c, 0, 64, 64
2, 43200, Note_off_c, 0, 62, 64
2, 43200, Note_on_c, 0, 67, 61
2, 44000, Note_off_c, 0, 67, 64
2, 44160, Note_on_c, 0, 63, 93
2, 44386, Note_off_c, 0, 63, 64
2, 44640, Note_on_c, 0, 63, 85
2, 44800, Note_off_c, 0, 63, 64
2, 45120, Note_on_c, 0, 64, 73
2, 45360, Note_on_c, 0, 66, 59
2, 45364, Note_off_c, 0, 64, 64
2, 45600, Note_on_c, 0, 67, 50
2, 45633, Note_off_c, 0, 66, 64
2, 45840, Note_on_c, 0, 64, 47
2, 45856, Note_off_c, 0, 67, 64
2, 46080, Note_on_c, 0, 62, 78
2, 46093, Note_off_c, 0, 64, 64
2, 46320, Note_on_c, 0, 61, 51
2, 46333, Note_off_c, 0, 62, 64
2, 46560, Note_on_c, 0, 59, 58
2, 46572, Note_off_c, 0, 61, 64
2, 46800, Note_on_c, 0, 57, 62
2, 46816, Note_off_c, 0, 59, 64
2, 47045, Note_on_c, 0, 69, 48
2, 47048, Note_off_c, 0, 57, 64
2, 47617, Note_off_c, 0, 69, 64
2, 48000, Note_on_c, 0, 62, 73
2, 48000, Note_on_c, 0, 68, 73
2, 48000, Note_on_c, 0, 74, 105
2, 48120, Note_off_c, 0, 74, 64
2, 48120, Note_off_c, 0, 68, 64
2, 48120, Note_off_c, 0, 62, 64
2, 48480, Note_on_c, 0, 74, 101
2, 48480, Note_on_c, 0, 68, 70
2, 48480, Note_on_c, 0, 62, 70
2, 48600, Note_off_c, 0, 62, 64
2, 48600, Note_off_c, 0, 68, 64
2, 48600, Note_off_c, 0, 74, 64
2, 48967, Note_on_c, 0, 74, 48
2, 48967, Note_on_c, 0, 68, 24
2, 48967, Note_on_c, 0, 62, 24
2, 49641, Note_off_c, 0, 62, 64
2, 49641, Note_off_c, 0, 68, 64
2, 49641, Note_off_c, 0, 74, 64
2, 49925, Note_on_c, 0, 81, 40
2, 49925, Note_on_c, 0, 73, 24
2, 50025, Note_off_c, 0, 73, 64
2, 50025, Note_off_c, 0, 81, 64
2, 50400, Note_on_c, 0, 81, 37
2, 50400, Note_on_c, 0, 73, 32
2, 50500, Note_off_c, 0, 73, 64
2, 50500, Note_off_c, 0, 81, 64
2, 50892, Note_on_c, 0, 81, 28
2, 50892, Note_on_c, 0, 73, 18
2, 51852, Note_off_c, 0, 73, 64
2, 51852, Note_off_c, 0, 81, 64
2, 52320, Note_on_c, 0, 78, 59
2, 52350, Note_on_c, 0, 79, 59
2, 52380, Note_on_c, 0, 78, 59
2, 52410, Note_on_c, 0, 79, 59
2, 52440, Note_on_c, 0, 78, 59
2, 52470, Note_on_c, 0, 79, 59
2, 52500, Note_on_c, 0, 78, 59
2, 52530, Note_on_c, 0, 79, 59
2, 52560, Note_off_c, 0, 78, 64
2, 52560, Note_on_c, 0, 78, 59
2, 52590, Note_off_c, 0, 79, 64
2, 52620, Note_off_c, 0, 78, 64
2, 52650, Note_off_c, 0, 79, 64
2, 52680, Note_off_c, 0, 78, 64
2, 52710, Note_off_c, 0, 79, 64
2, 52740, Note_off_c, 0, 78, 64
2, 52740, Note_on_c, 0, 79, 54
2, 52770, Note_off_c, 0, 79, 64
2, 52800, Note_off_c, 0, 78, 64
2, 52800, Note_on_c, 0, 81, 76
2, 52860, Note_off_c, 0, 79, 64
2, 53187, Note_off_c, 0, 81, 64
2, 53280, Note_on_c, 0, 81, 59
2, 53941, Note_off_c, 0, 81, 64
2, 54000, Note_on_c, 0, 81, 74
2, 54131, Note_off_c, 0, 81, 64
2, 54240, Note_on_c, 0, 81, 69
2, 54360, Note_on_c, 0, 83, 62
2, 54366, Note_off_c, 0, 81, 64
2, 54399, Note_on_c, 0, 81, 66
2, 54422, Note_off_c, 0, 83, 64
2, 54438, Note_on_c, 0, 80, 82
2, 54449, Note_off_c, 0, 81, 64
2, 54480, Note_on_c, 0, 81, 75
2, 54503, Note_off_c, 0, 80, 64
2, 54600, Note_on_c, 0, 83, 65
2, 54605, Note_off_c, 0, 81, 64
2, 54720, Note_on_c, 0, 81, 67
2, 54747, Note_off_c, 0, 83, 64
2, 54960, Note_on_c, 0, 79, 58
2, 54964, Note_off_c, 0, 81, 64
2, 55070, Note_off_c, 0, 79, 64
2, 55200, Note_on_c, 0, 79, 57
2, 55877, Note_off_c, 0, 79, 64
2, 55920, Note_on_c, 0, 79, 60
2, 56160, Note_on_c, 0, 78, 63
2, 56182, Note_off_c, 0, 79, 64
2, 56400, Note_on_c, 0, 76, 55
2, 56433, Note_off_c, 0, 78, 64
2, 56556, Note_off_c, 0, 76, 64
2, 56640, Note_on_c, 0, 76, 77
2, 56880, Note_on_c, 0, 81, 62
2, 56894, Note_off_c, 0, 76, 64
2, 56955, Note_off_c, 0, 81, 64
2, 57120, Note_on_c, 0, 81, 66
2, 57836, Note_off_c, 0, 81, 64
2, 57840, Note_on_c, 0, 83, 63
2, 57960, Note_on_c, 0, 81, 64
2, 57992, Note_off_c, 0, 83, 64
2, 58009, Note_off_c, 0, 81, 64
2, 58080, Note_on_c, 0, 81, 77
2, 58200, Note_on_c, 0, 79, 61
2, 58217, Note_off_c, 0, 81, 64
2, 58320, Note_on_c, 0, 78, 56
2, 58337, Note_off_c, 0, 79, 64
2, 58440, Note_on_c, 0, 79, 59
2, 58451, Note_off_c, 0, 78, 64
2, 58485, Note_off_c, 0, 79, 64
2, 58560, Note_on_c, 0, 79, 72
